Date,Open,High,Low,Close,Adj Close,Volume
2021-02-10,43.0,50.0,43.0,44.9900016784668,37.186302185058594,1836935
2021-02-11,45.470001220703125,45.470001220703125,42.75,42.79999923706055,35.376163482666016,1652123
2021-02-12,43.0099983215332,43.5,41.54999923706055,42.5099983215332,35.1364631652832,2088188
2021-02-16,44.20000076293945,45.540000915527344,43.0099983215332,43.54999923706055,35.99607849121094,1369097
2021-02-17,44.029998779296875,44.599998474121094,43.5,44.2599983215332,36.58292007446289,1910404
2021-02-18,44.2400016784668,45.0,42.779998779296875,43.0,35.54147720336914,1589465
2021-02-19,43.65999984741211,44.630001068115234,43.0099983215332,44.0,36.368019104003906,1048177
2021-02-22,44.84000015258789,45.029998779296875,43.650001525878906,43.84000015258789,36.235774993896484,1449387
2021-02-23,43.95000076293945,43.95000076293945,42.0,43.65999984741211,36.08699035644531,888492
2021-02-24,43.2400016784668,45.08000183105469,42.63999938964844,45.0,37.194576263427734,3153182
2021-02-25,45.31999969482422,45.5,44.099998474121094,44.75,36.98793029785156,2485012
2021-02-26,44.560001373291016,44.939998626708984,43.415000915527344,44.18000030517578,36.51679611206055,466093
2021-03-01,44.45000076293945,45.279998779296875,44.08000183105469,44.66999816894531,36.92180633544922,718886
2021-03-02,44.66999816894531,46.75,44.66999816894531,45.29999923706055,37.44253158569336,756575
2021-03-03,45.5099983215332,47.63999938964844,45.220001220703125,47.25,39.05429458618164,1214585
2021-03-04,47.65999984741211,48.78990173339844,45.790000915527344,46.18000030517578,38.16989517211914,679731
2021-03-05,47.0,47.08000183105469,44.02000045776367,45.029998779296875,37.219364166259766,968151
2021-03-08,44.689998626708984,45.130001068115234,43.0099983215332,44.369998931884766,36.67384338378906,1125470
2021-03-09,43.689998626708984,44.939998626708984,43.618900299072266,44.279998779296875,36.59945297241211,183416
2021-03-10,44.2599983215332,44.869998931884766,43.77000045776367,44.75,36.98793029785156,484270
2021-03-11,44.75,45.81999969482422,44.5099983215332,45.34000015258789,37.4755859375,578892
2021-03-12,46.130001068115234,46.310001373291016,44.88999938964844,45.75,37.814476013183594,684271
2021-03-15,45.91999816894531,46.25,45.099998474121094,45.75,37.814476013183594,626783
2021-03-16,45.779998779296875,45.875,43.94499969482422,44.810001373291016,37.03752136230469,717657
2021-03-17,44.869998931884766,45.599998474121094,44.20000076293945,45.279998779296875,37.42600631713867,543104
2021-03-18,44.91999816894531,45.25,43.220001220703125,43.5,35.954750061035156,886854
2021-03-19,43.29999923706055,43.7599983215332,42.79999923706055,43.310001373291016,35.79771041870117,537112
2021-03-22,43.22999954223633,43.5,41.91999816894531,42.75,35.334835052490234,539255
2021-03-23,42.279998779296875,42.720001220703125,41.040000915527344,41.70000076293945,34.46696090698242,446999
2021-03-24,42.5,42.79999923706055,41.279998779296875,41.599998474121094,34.38431167602539,688655
2021-03-25,41.150001525878906,42.33000183105469,40.0,42.15999984741211,34.84717559814453,675175
2021-03-26,42.27000045776367,43.34000015258789,42.13999938964844,43.33000183105469,35.81423568725586,325005
2021-03-29,43.400001525878906,43.5099983215332,42.34000015258789,42.52000045776367,35.14472579956055,203972
2021-03-30,42.27000045776367,43.400001525878906,41.290000915527344,43.13999938964844,35.657188415527344,480190
2021-03-31,43.029998779296875,44.51839828491211,42.189998626708984,43.38999938964844,35.863826751708984,446663
2021-04-01,43.09000015258789,45.79499816894531,42.82500076293945,44.93000030517578,37.1367073059082,619045
2021-04-05,44.81999969482422,45.154998779296875,43.5,44.65999984741211,36.913543701171875,579958
2021-04-06,45.0099983215332,45.95000076293945,44.04999923706055,45.209999084472656,37.36814498901367,725523
2021-04-07,45.11000061035156,46.0,44.400001525878906,45.099998474121094,37.277217864990234,943036
2021-04-08,44.9900016784668,45.81999969482422,44.77000045776367,45.33000183105469,37.467323303222656,732111
2021-04-09,45.20000076293945,45.90999984741211,44.47999954223633,45.540000915527344,37.640899658203125,686046
2021-04-12,45.66999816894531,45.91999816894531,45.25,45.45000076293945,37.56650924682617,640398
2021-04-13,45.349998474121094,45.81999969482422,45.31999969482422,45.5099983215332,37.61610794067383,311963
2021-04-14,45.66999816894531,46.310001373291016,45.25,46.189998626708984,38.17815017700195,821112
2021-04-15,46.15999984741211,46.58000183105469,45.349998474121094,46.189998626708984,38.17815017700195,465722
2021-04-16,46.70000076293945,46.88999938964844,45.32500076293945,45.650001525878906,37.7318229675293,390776
2021-04-19,45.709999084472656,46.625,45.40999984741211,45.970001220703125,37.99632263183594,386421
2021-04-20,45.970001220703125,46.310001373291016,44.310001373291016,45.709999084472656,37.78141403198242,595828
2021-04-21,45.540000915527344,46.59000015258789,44.78129959106445,46.2400016784668,38.219478607177734,592970
2021-04-22,46.27000045776367,46.900001525878906,45.849998474121094,46.08000183105469,38.08723449707031,1098633
2021-04-23,46.04999923706055,47.220001220703125,45.41999816894531,46.459999084472656,38.40132522583008,471686
2021-04-26,46.34000015258789,47.459999084472656,46.27000045776367,46.880001068115234,38.74847412109375,380075
2021-04-27,46.650001525878906,47.5,46.380001068115234,46.869998931884766,38.74020767211914,721710
2021-04-28,47.150001525878906,47.31999969482422,45.939998626708984,46.18000030517578,38.16989517211914,599708
2021-04-29,46.41999816894531,48.5,45.790000915527344,46.95000076293945,38.80632781982422,1033785
2021-04-30,46.5099983215332,47.47999954223633,45.31999969482422,45.56999969482422,37.66569519042969,766130
2021-05-03,45.970001220703125,46.619998931884766,45.40999984741211,46.36000061035156,38.31867218017578,870278
2021-05-04,46.5,46.5,45.599998474121094,46.0,38.021121978759766,772172
2021-05-05,46.22999954223633,47.630001068115234,46.095001220703125,46.7400016784668,38.63276672363281,1923386
